time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-10-11 16:33:45.689 UTC, ,125,3159781,952,13792,136, ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1570811625083, , , , ,3145728, , , , ,5,4,11,3,4,4, , ,3,4, , , , , , , ,38,1, , ,14336,4,1087,3, , , , ,9,19685,130,75570,1450877400,1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-10-11 16:34:45.694 UTC, ,2349,4319901,1752,1171376,448, ,78, ,55359, , , , , , , , , ,78,7, , , ,33,43,5, ,552, , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570811625083, , , , ,3145728, , ,1866, ,206,8027,29715,8025,1,8027, , ,3,8028, , , , , , , , , , , ,2048,1,1799947,7787, , , ,9, , ,13,1668,1612769512,1, , , , , , ,24703, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,330, ,7651, ,410,15515,31831,239, , , , , , 
2019-10-11 16:35:45.696 UTC, ,2789,4324581,1752,1175616,448, ,80, ,14973, , , , , , , , , ,80,7, , , ,33,44,5, ,61, , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570811625083, , , , ,3145728, , , , ,99,176,610,176, ,176, , ,3,179, , , , , , , , , , , , , ,35858,176, , , , , , ,11,1449,1273047328,1, , , , , , ,6563, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,50, ,74, , ,6326,8497,52, , , , , , 
2019-10-11 16:41:44.781 UTC, ,125,3642269,1752,496192,224, ,79, ,18026,80,0.00, , , , , , , ,79,7, ,8733, ,34,77,5, ,9269,13, , , , , , , , , , , , , ,2100581,2,1883435,1883435,1,15,36,43, ,42,42, , , , , ,230,8999, , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,95,27,1,27,1,5,1, , ,3,2, , , ,95,1,108666,25,10763,1, ,42,19443337,2457,217199,1, , , , ,9,13943,90,31610,1910198456,33, , , , , , ,9276, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , 
2019-10-11 16:42:44.817 UTC, ,1469,3676901,1752,529256,448, ,82, ,18170, , , , , , , , , ,82,7, , , ,36,77,6, ,391,102, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,104,103,419,2867,418,2,419, , ,3,421, , , ,104,1,2452,3,1991,2, , ,21432,102,100160,414, , , , , , ,19,2804,2388403016,16, , , , , , ,8575, , , ,1, ,6, , , , , , , , , , , , , , , , , , , , , , ,216, ,294, ,324,7287,10486,66, , , , , , 
2019-10-11 16:43:44.820 UTC, ,1909,3726165,1752,578080,448, ,83, ,17254, , , , , , , , , ,83,7, , , ,36,76,7, ,265,100, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,100,168,564,2501,564, ,564, , ,3,567, , , ,100,1,410,2,3454,2, , ,17149,98,102804,559, , , , , , ,16,2938,2768024736,9, , , , , , ,7700, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,154, ,436, ,204,6573,10136,72, , , , , , 
2019-10-11 16:44:44.822 UTC, ,2349,3770757,1752,622232,448, ,87, ,14720, , , , , , , , , ,87,7, , , ,37,79,6, ,48, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,71,446,1473,446, ,446, , ,3,449, , , , ,1, , , , , , , , ,103056,444, , , , , , ,13,1980,2764729680,5, , , , , , ,6027, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42, ,342, , ,5533,8767,62, , , , , , 
2019-10-11 16:45:44.823 UTC, ,2349,3776805,1752,628280,448, ,88, ,8799, , , , , , , , , ,88,7, , , ,37,80,6, ,36, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,64,145,442,145, ,145, , ,3,148, , , , ,1, , , , , , , , ,29822,145, , , , , , ,11,1502,2362944040,3, , , , , , ,3717, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27, ,78, , ,3536,5126,40, , , , , , 
2019-10-11 16:46:44.825 UTC, ,3669,3829421,1752,679576,448, ,92, ,39828, , , , , , , , , ,92,7, , , ,37,83,6, ,448,150, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,150,106,716,2095,716, ,716, , ,3,719, , , ,150,1,500,3,5181,3, , ,25189,147,149138,711, , , , , , ,14,1750,2395537056,2, , , , , , ,18086, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,277, ,428, ,306,16609,22587,158, , , , , , 
2019-10-11 16:47:44.826 UTC, ,4109,3837149,1752,686864,448, ,91, ,5855, , , , , , , , , ,91,7, , , ,36,82,6, ,131,50, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,50,72,118,316,118, ,118, , ,3,121, , , ,50,1,161,1,1727,1, , ,8050,49,17317,117, , , , , , ,9,1187,2611052096,1, , , , , , ,2721, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,68, ,78, ,102,2373,3354,21, , , , , , 
