Обозначение	D-d	Ход	Установочный размер	Технические особенности	Область применения	Подвод	Монтажно-конструктивные особенности	Применяемость
								
1221-4625010	90-50	220	395		МТЗ	2 отв. КГ3/8	Отв. D=28	Задняя навеска BELARUS-1221/800/900
К1221-4625010-01	90-50	220	395		МТЗ	2 отв. КГ3/8	Отв. D=28	Задняя навеска BELARUS-1221/800/900
К1221-4625010-02	90-50	220	395		МТЗ	2 отв. КГ3/8	Отв. D=28	Задняя навеска BELARUS-1221/800/900
К1221Б-4625010	90-50	220	395		МТЗ	2 отв. КГ3/8	Отв. D=28	Задняя навеска BELARUS-1221/800/900
К1221Б-4625010-01	90-50	220	395		МТЗ	2 отв. КГ3/8	Отв. D=28	Задняя навеска BELARUS-1221/800/900
К1221Б-4625010-02	90-50	220	395		МТЗ	2 отв. КГ3/8	Отв. D=28	Задняя навеска BELARUS-1221/800/900
2102-4216110-Б	50-16	26	163		МТЗ	2 отв. М14?1.5	Отв. D=17, отв. М10	Управление коробкой передач BELARUS-1523/2022/2103
50-3405015	90-30	39,2			МТЗ	см. чертеж	см. чертеж	Рулевое управление BELARUS-550/80
503А-8505310	110-20	83	215	Пневмоцилиндр	МАЗ-КаМАЗ	1 отв. К1/4	Отв. D=12, 16	Гидроцилиндр запора борта автомобиля-самосвала марки МАЗ .
503А-8603510-03	120-100-80	1280	450	Телескопический	МАЗ-КаМАЗ	1 отв. КГ3/4	Цапфы d=50, сфера d=55	Подъём кузова автомоб. серии МАЗ-5551.
5335-1602705-21	70-16			Пневмоцилиндр	МАЗ-КаМАЗ	1 отв. К1/4	см. чертеж	Уменьшения усиления на педали включения сцепления автомобилей марки МАЗ.
551608-8603510	120-100-80	1280	310	Телескопический	МАЗ-КаМАЗ	1 отв. КГ3/4	Цапфы d=50, сфера d=55	Подъем кузова МАЗ
55165-8603510	160-140-120-80	3444	1010	Телескопический	МАЗ-КаМАЗ	1 отв. КГ3/4	 Проуш. с ШС50 S=58 	Подъем кузова МАЗ Q=20т (5 ступ.)
5516-8505310	110-20	83	220	Пневмоцилиндр	МАЗ-КаМАЗ	1 отв. К1/4	Отв. D=14, 16	Гидроцилиндр запора борта автомобиля-самосвала марки МАЗ .
555102-8603510	120-100-80	1280	450	Телескопический	МАЗ-КаМАЗ	1 отв. КГ3/4	Цапфы d=50, сфера d=55	Подъем кузова МАЗ
620-4625010	72-63	250	460	Плунжерный	МТЗ	1 отв. КГ3/8	Отв. D=22, 28	Подъем навесного устройства BELARUS-622
80-4216100	50-16	63	181.5		МТЗ	2 отв. М14?1.5	Отв. D=12.5, 17	Управление задним мостом BELARUS-2000/3000/3500
80-4216110	50-16	63	163.5		МТЗ	2 отв. М14?1.5	Отв. D=17, отв. М10	Управление валом отбора мощности тракторов МТЗ-952/1005/1221.
820-4625010-Б	88.5-80	220	615	Плунжерный	МТЗ	1 отв. КГ3/8	Отв. D=18, 28	Подъем навески BELARUS-800/900/921/1000
822-1723020	50-16	63	300		МТЗ	2 отв. М14?1.5	Вилка с отв. D=12, отв. D=17	Управление понижающим редуктором BELARUS-922/923
93892-3014030	110-20	32		Пневмоцилиндр	МАЗ-КаМАЗ	1 отв. К1/4	см. чертеж	Цилиндр блокировки оси МАЗ.
9506-8603510-010	160-140-120-100	5578	1726	Телескопический	МАЗ-КаМАЗ	1 отв. КГ3/4	Сфера d=65, проуш. с ШС50	Подъем платформы (29 т.) автосамосвалов серии МАЗ 9506.
КГЦ35.50-32-180	50-32	180	430		Коммунальная	2 отв. К3/8	Проуш. с ШС25 S=28	Снегоочиститель СНФ-200, ФРС-200
КГЦ100.50-500-01	100-50	500	830			2 отв. М27?2	Проуш. S=50 мм с ШС50	Подъем отвала снегоуборочной машины
КГЦ100.50-1000-04	100-50	1000	1330			2 отв. М27?2	Проуш. S=50 мм с ШС50	Подъем крышки (4,5 т) оборудования
КГЦ101-02.50-32-100	50-32	100	350	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦ101-06.50-32-250	50-32	250	500	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦ101-07.50-32-320	50-32	320	570	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦ101-08.50-32-400	50-32	400	650	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦ101-09.50-32-500	50-32	500	750	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Косилка дисковая полуприцепная КДП
КГЦ101-11.50-32-630	50-32	630	880	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Различные виды сельхозтехники
КГЦ101-12.50-32-800	50-32	800	1050	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Спецтехника
КГЦ101-13.50-32-500	50-32	500	750	Унифицированный	Могилёвтрансмаш	"2 отв. G3/8"""	Проуш. с ШС25 S=28	Для мусоровозов с задней загрузкй типа МАЗ-5904
КГЦ101-14.50-32-400	50-32	400	650	Унифицированный	Амкодор	"2 отв. G3/8"""	Проуш. с ШС25 S=28	Для экскаватора дреноукладчика XT15CD1
КГЦ102-06.50-25-250	50-25	250	500	Унифицированный	Сельхозтехника	2 отв. М16?1.5	Проуш. с ШС25 S=28	Спецтехника
КГЦ136.2-80-778	80-56	778	700	Телескопический	Сельхозтехника	1 штуц. М20?1.5	Опоры	Подъема прицепа 1ПТС-9 трактора Т-150К
КГЦ140.3-120-1280	120-100-80	1280	600	Телескопический	Сельхозтехника	1 штуц. М20?1.5	Сфера d=50, отв. сфера d=50	Подъем кузова мусоров. серии ОК, подъёма прицепа 2ПТС-4.
КГЦ186.125-80-400	125-80	400	900		Экскаваторы	Колодки фланцевого зажима	Отв. D=105	"Подъем стрелы, опор экскаваторов ЭО-3323А; ЕК-14,-18."
